,Team,team,name
0,Anaheim Ducks,ANA,Ducks
1,Arizona Coyotes,ARI,Coyotes
2,Boston Bruins,BOS,Bruins
3,Buffalo Sabres,BUF,Sabres
4,Calgary Flames,CGY,Flames
5,Carolina Hurricanes,CAR,Hurricanes
6,Chicago Blackhawks,CHI,Blackhawks
7,Colorado Avalanche,COL,Avalanche
8,Columbus Blue Jackets,CBJ,Blue Jackets
9,Dallas Stars,DAL,Stars
10,Detroit Red Wings,DET,Red Wings
11,Edmonton Oilers,EDM,Oilers
12,Florida Panthers,FLA,Panthers
13,Los Angeles Kings,LAK,Kings
14,Minnesota Wild,MIN,Wild
15,Montreal Canadiens,MTL,Canadiens
16,Nashville Predators,NSH,Predators
17,New Jersey Devils,NJD,Devils
18,New York Islanders,NYI,Islanders
19,New York Rangers,NYR,Rangers
20,Ottawa Senators,OTT,Senators
21,Philadelphia Flyers,PHI,Flyers
22,Pittsburgh Penguins,PIT,Penguins
23,San Jose Sharks,SJS,Sharks
24,Seattle Kraken,SEA,Kraken
25,St Louis Blues,STL,Blues
26,Tampa Bay Lightning,TBL,Lightning
27,Toronto Maple Leafs,TOR,Maple Leafs
28,Vancouver Canucks,VAN,Canucks
29,Vegas Golden Knights,VGK,Golden Knights
30,Washington Capitals,WSH,Capitals
31,Winnipeg Jets,WPG,Jets
